Element Name;Layer;Composition;Ratio;Component Name;Application;Lifetime;Thickness;Category;Type;Database;LCI-ID;Lambda;R-Value;U-Value;Functional Unit;Material;Waste Category;Landfill;Incineration;Reuse;Recycling;Sorted on Building Site
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C10;a;1.0;Rigid tiles | Glazed ceramic (300x300x10 mm) | Glued;Floor finish | Cladding;60;0.01;Rigid flooring;Generic component;Ecoinvent 3.6;WS12;0.81;0.01;;sqm;Tap water;No impact end-of-life;0.0;0.0;0.0;0.0;0.0
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C9;a;1.0;Screed | Cement (50 mm);Floor finish | Support structure;60;0.05;Continuous flooring  and screed;Generic component;Ecoinvent 3.6;WS22;1.35;0.04;;sqm;Cement;Other stony waste;0.05;0.0;0.0;0.95;0.75
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C9;a;1.0;Screed | Cement (50 mm);Floor finish | Support structure;60;0.05;Continuous flooring  and screed;Generic component;Ecoinvent 3.6;WS22;1.35;0.04;;sqm;Sand;Bulk materials;0.05;0.0;0.95;0.0;0.9
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C9;a;1.0;Screed | Cement (50 mm);Floor finish | Support structure;60;0.05;Continuous flooring  and screed;Generic component;Ecoinvent 3.6;WS22;1.35;0.04;;sqm;Tap water;No impact end-of-life;0.0;0.0;0.0;0.0;0.0
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C8;a;1.0;Mesh | Reinforcement steel (50x50 Ø 2 mm) | To be combined with screed;Floor finish | Support structure;60;0.002;Reinforcement steel;Generic component;Ecoinvent 3.6;WS26;;;;sqm;Reinforcement net;Metals;0.05;0.0;0.0;0.95;0.85
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C7;a;1.0;Screed | Trass-lime mortar (30 mm);Floor finish | Support structure;60;0.03;Continuous flooring  and screed;Generic component;Ecoinvent 3.6;WS25;0.7;0.04;;sqm;Trass-lime mortar;Other stony waste;0.05;0.0;0.0;0.95;0.75
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C7;a;1.0;Screed | Trass-lime mortar (30 mm);Floor finish | Support structure;60;0.03;Continuous flooring  and screed;Generic component;Ecoinvent 3.6;WS25;0.7;0.04;;sqm;Tap water;No impact end-of-life;0.0;0.0;0.0;0.0;0.0
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C6;a;1.0;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002;Membrane;Generic component;Ecoinvent 3.6;WS10;;;;sqm;High density polyethylene water barrier;Polyolefins (PP, PE);0.1;0.85;0.0;0.05;0.0
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C5;a;1.0;Cast in situ | Expanded clay grains - Trass-lime mortar (0.16 m³);Floor bed | Slab;60;0.16;;;;;;;;;;;;;;;
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C4;a;1.0;Loose filling | Expanded clay (0.32 m³);Floor bed | Leveling layer;60;0.32;;;;;;;;;;;;;;;
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C3;a;1.0;Loose filling | Gravel (0.1 m³);Floor bed | Leveling layer;60;0.1;;;;;;;;;;;;;;;
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C2;a;1.0;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1.0;Earthworks (Excavation, egalisation);Generic component;Ecoinvent 3.6;WS9;;;;sqm;Manual levelling;No impact end-of-life;0.0;0.0;0.0;0.0;0.0
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C1;a;1.0;Excavation process | Soil (0.3 m³) | By machine | Without transport;Floor bed | Excavation;60;0.3;;;;;;;;;;;;;;;
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C12;a;1.0;Soft tiles | Cork (4 mm) | Glued;Floor finish | Cladding;15;0.004;Soft flooring;Generic component;Ecoinvent 3.6;WS466;0.04;0.1;;sqm;Cork tiles;Soft flooring;0.0;0.95;0.0;0.05;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C12;a;1.0;Soft tiles | Cork (4 mm) | Glued;Floor finish | Cladding;15;0.004;Soft flooring;Generic component;Ecoinvent 3.6;WS466;0.04;0.1;;sqm;Contact adhesive;Combustible remaining waste;0.0;1.0;0.0;0.0;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C12;a;1.0;Soft tiles | Cork (4 mm) | Glued;Floor finish | Cladding;15;0.004;Soft flooring;Generic component;Ecoinvent 3.6;WS466;0.04;0.1;;sqm;Acrylic varnish;Finishing layer fixed to wood, plastic or metal;0.0;1.0;0.0;0.0;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C11;a;1.0;Screed | Cement (50 mm);Floor finish | Support structure;60;0.05;Continuous flooring  and screed;Generic component;Ecoinvent 3.6;WS22;1.35;0.04;;sqm;Cement;Other stony waste;0.05;0.0;0.0;0.95;0.75
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C11;a;1.0;Screed | Cement (50 mm);Floor finish | Support structure;60;0.05;Continuous flooring  and screed;Generic component;Ecoinvent 3.6;WS22;1.35;0.04;;sqm;Sand;Bulk materials;0.05;0.0;0.95;0.0;0.9
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C11;a;1.0;Screed | Cement (50 mm);Floor finish | Support structure;60;0.05;Continuous flooring  and screed;Generic component;Ecoinvent 3.6;WS22;1.35;0.04;;sqm;Tap water;No impact end-of-life;0.0;0.0;0.0;0.0;0.0
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C10;a;1.0;Mesh | Reinforcement steel (50x50 Ø 2 mm) | To be combined with screed;Floor finish | Support structure;60;0.002;Reinforcement steel;Generic component;Ecoinvent 3.6;WS26;;;;sqm;Reinforcement net;Metals;0.05;0.0;0.0;0.95;0.85
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C9;a;1.0;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002;Membrane;Generic component;Ecoinvent 3.6;WS10;;;;sqm;High density polyethylene water barrier;Polyolefins (PP, PE);0.1;0.85;0.0;0.05;0.0
